id,pregunta,respuesta,categoria,dificultad,asignado_a,estado,notas,fecha_revision,fuente
156,�En d�nde desemboca el r�o europeo Bug Meridional?,Mar Negro,geografia,facil,todos,no_sabia,,2026-03-17,trivial2b
206,�Que tipo de gobierno se implanta en Francia en 1791 al comienzo de la revoluci�n francesa?,Monarqu�a Constitucional,historia_universal,facil,todos,no_sabia,,2026-03-17,trivial2b
222,¿En qué provincia se encuentra la ciudad de Mar del Plata?,Buenos Aires,geografia,facil,todos,sabia,,2026-03-17,preguntados_utn
317,¿Quién fue Julio César?,Dictador y general romano,historia_universal,facil,todos,sabia,,2026-03-17,opentriviaqa
494,¿Cómo se llama a los habitantes de Buenos Aires (ciudad)?,Porteños,geografia,facil,todos,sabia,,2026-03-17,generada
346,¿Quién formuló la teoría de la relatividad?,Albert Einstein,ciencia,facil,todos,sabia,,2026-03-17,opentriviaqa
545,¿Qué instrumento se usa para medir la presión atmosférica?,Barómetro,terminologia,media,santiago,sabia,,2026-03-17,generada
338,¿Cuál fue la primera civilización de Mesopotamia?,Sumeria,historia_universal,media,marcos,sabia,,2026-03-17,opentriviaqa
40,¿Cual de estos compuestos orgánicos NO es oxigenado?,Aminas,ciencia,facil,todos,no_sabia,,2026-03-17,trivial2b
231,¿Qué famoso autor argentino escribió 'El Aleph'?,Jorge Luis Borges,historia_argentina,facil,todos,sabia,,2026-03-17,preguntados_utn
305,¿Quién fue Napoleón Bonaparte?,Emperador de Francia,historia_universal,facil,todos,sabia,,2026-03-17,opentriviaqa
129,�A qui�n se considera el Rey del Pop?,Michael Jackson,otro,facil,todos,sabia,,2026-03-17,trivial2b
462,"¿Qué ciudad es sagrada para el judaísmo, el cristianismo y el Islam?",Jerusalén,otro,facil,todos,sabia,,2026-03-17,opentriviaqa
396,¿De qué país era originario Mozart?,Austria (Salzburgo),musica,facil,todos,sabia,,2026-03-17,opentriviaqa
504,¿Cómo se llama el mar interior entre Europa y África?,Mar Mediterráneo,geografia,facil,todos,sabia,,2026-03-17,generada
286,¿Qué mar baña las costas de Croacia?,Mar Adriático,geografia,media,tiziano,no_sabia,,2026-03-17,opentriviaqa
308,¿Qué tratado puso fin a la Primera Guerra Mundial?,Tratado de Versalles,historia_universal,media,marcos,no_sabia,,2026-03-17,opentriviaqa
638,¿Qué filósofo declaró que 'Dios ha muerto'?,Friedrich Nietzsche,filosofia,facil,todos,no_sabia,,2026-03-17,generada
282,¿Cuál es la capital de Irak?,Bagdad,geografia,media,tiziano,no_sabia,,2026-03-17,opentriviaqa
464,¿Quién fue Mahoma?,Profeta fundador del Islam,otro,facil,todos,no_sabia,,2026-03-17,opentriviaqa
669,¿Quién era Urano en la mitología griega?,"El dios primordial del cielo, esposo de Gea",mitologia,media,marcos,no_sabia,,2026-03-17,generada
400,¿En qué ciudad se originó el tango?,Buenos Aires (y Montevideo),musica,facil,todos,no_sabia,,2026-03-17,opentriviaqa
580,¿Quién propuso el principio de incertidumbre?,Werner Heisenberg,ciencia,dificil,santiago,no_sabia,,2026-03-17,generada
223,¿En qué ciudad se celebra anualmente el Festival Nacional de la Vendimia?,Mendoza,geografia,facil,todos,no_sabia,,2026-03-17,preguntados_utn
434,¿Quién escribió 'La Divina Comedia'?,Dante Alighieri,literatura,facil,todos,no_sabia,,2026-03-17,opentriviaqa
469,¿En qué país se originó el budismo?,India (actual Nepal/India),otro,media,todos,no_sabia,,2026-03-17,opentriviaqa
83,"�De qu� jugador de f�tbol el ex velocista Ben Johnson fue entrenador personal, en 1997?",Maradona,deportes,facil,todos,nueva,,,trivial2b
123,"�En qu� a�o se estren� la pel�cula de Disney ""Pinocho""?",1940,otro,facil,todos,nueva,,,trivial2b
42,¿De que tipo de reptiles surgieron los mamíferos?,Terápsidos,ciencia,facil,todos,nueva,,,trivial2b
536,¿Qué estudia la entomología?,Los insectos,terminologia,media,santiago,nueva,,,generada
503,¿Qué estrecho separa la isla de Gran Bretaña del continente europeo?,Estrecho de Dover (Paso de Calais),geografia,media,tiziano,nueva,,,generada
340,¿En qué año fue asesinado John F. Kennedy?,1963,historia_universal,media,marcos,nueva,,,opentriviaqa
68,�Qu� selecci�n latinoamericana de Hockey sobre c�sped femenino obtuvo medallas en las �ltimas 4 olimpiadas?,Argentina,deportes,facil,todos,nueva,,,trivial2b
29,¿Cual es el hueso mas largo en el cuerpo humano?,Fémur,ciencia,facil,todos,nueva,,,trivial2b
393,¿Qué científico propuso el modelo heliocéntrico del universo?,Nicolás Copérnico,ciencia,media,santiago,nueva,,,opentriviaqa
380,¿Cuántos litros de sangre tiene aproximadamente un adulto?,5 litros,ciencia,media,santiago,nueva,,,opentriviaqa
447,¿Quién pintó el techo de la Capilla Sixtina?,Miguel Ángel,arte,facil,todos,nueva,,,opentriviaqa
76,�Qui�n fund� en 1960 los juegos Paral�mpicos?,Ludwig Guttmann,deportes,facil,todos,nueva,,,trivial2b
518,¿Cuál es el único país de Centroamérica cuya lengua oficial es el inglés?,Belice,geografia,media,tiziano,nueva,,,generada
35,¿El corazón es miogenético ¿que significa eso?,Que se excita a si mismo,ciencia,facil,todos,nueva,,,trivial2b
332,¿Quién fue Martín Lutero?,Reformador religioso que inició la Reforma Protestante,historia_universal,media,marcos,nueva,,,opentriviaqa
212,Napole�n Bonaparte nombr� a su hermano Jos� I rey �de qu� pa�s?,Espa�a,historia_universal,facil,todos,nueva,,,trivial2b
232,¿En qué ciudad se encuentra el Obelisco?,Buenos Aires,geografia,facil,todos,sabia,,2026-03-17,preguntados_utn
560,¿Qué glándula regula el metabolismo mediante hormonas tiroideas?,Tiroides,ciencia,media,santiago,nueva,,,generada
298,¿En qué año terminó la Segunda Guerra Mundial?,1945,historia_universal,facil,todos,nueva,,,opentriviaqa
170,�En qu� continente se encuentra el r�o Tocantins?,Am�rica,geografia,facil,todos,nueva,,,trivial2b
382,¿Cuál es la partícula fundamental de la luz?,Fotón,ciencia,media,santiago,sabia,,2026-03-17,opentriviaqa
205,�Qui�n fue el primer emperador del Sacro Imperio Romano Germ�nico?,Carlomagno,historia_universal,facil,todos,nueva,,,trivial2b
91,Qui�n es el creador y cual fue la fecha de lanzamiento de Hora De Aventuras,"Pendleton Ward, 2010",otro,facil,todos,nueva,,,trivial2b
48,Kyong-go es un t�rmino utilizado en Taekwondo. �Qu� denomina?,Un tipo de penalizaci�n,deportes,facil,todos,nueva,,,trivial2b
491,¿Cuál es la montaña más alta del mundo?,Everest,geografia,facil,todos,nueva,,,generada
467,¿Cuál es el símbolo del judaísmo?,Estrella de David,otro,facil,todos,nueva,,,opentriviaqa
337,¿Qué faraón egipcio es famoso por su tumba descubierta intacta en 1922?,Tutankamón,historia_universal,facil,todos,nueva,,,opentriviaqa
425,¿Quién escribió 'Don Quijote de la Mancha'?,Miguel de Cervantes,literatura,facil,todos,nueva,,,opentriviaqa
328,¿Qué civilización inventó la escritura cuneiforme?,Sumeria,historia_universal,dificil,marcos,sabia,,2026-03-17,opentriviaqa
265,¿Cuál es la capital de Egipto?,El Cairo,geografia,facil,todos,nueva,,,opentriviaqa
290,¿Cuál es la capital de Finlandia?,Helsinki,geografia,media,tiziano,nueva,,,opentriviaqa
525,¿Cómo se llama la afición de coleccionar posavasos?,Tegestofilia,terminologia,dificil,santiago,nueva,,,generada
310,¿Qué imperio dominó gran parte del Medio Oriente hasta 1922?,Imperio Otomano,historia_universal,media,marcos,sabia,,2026-03-17,opentriviaqa
413,¿Qué compositor quedó completamente sordo y siguió componiendo?,Ludwig van Beethoven,musica,facil,todos,nueva,,,opentriviaqa
442,¿Quién escribió 'La metamorfosis'?,Franz Kafka,literatura,facil,todos,nueva,,,opentriviaqa
145,�Cual es la cadena monta�osa considerada m�s antigua y de menor relieve de entre las siguientes?,C�ucaso,geografia,facil,todos,nueva,,,trivial2b
366,¿Qué gas forma la mayor parte de la atmósfera terrestre?,Nitrógeno,ciencia,media,santiago,nueva,,,opentriviaqa
649,¿Cuál es el equivalente romano de Hermes?,Mercurio,mitologia,facil,todos,nueva,,,generada
120,�Como se llama el perro de Mickey Mouse?,Pluto,otro,facil,todos,nueva,,,trivial2b
473,¿Cuál es la sede de gobierno de Bolivia (capital de facto)?,La Paz,geografia,media,tiziano,nueva,,,generada
359,¿Cuál es la fórmula química del agua?,H₂O,ciencia,facil,todos,nueva,,,opentriviaqa
276,¿Qué país europeo tiene más habitantes?,Rusia,geografia,media,tiziano,sabia,,2026-03-17,opentriviaqa
350,¿Cuántos cromosomas tiene una célula humana?,46,ciencia,media,santiago,nueva,,,opentriviaqa
572,¿Cuál es la segunda ley de Kepler?,Los planetas barren áreas iguales en tiempos iguales (ley de las áreas),ciencia,dificil,santiago,no_sabia,,2026-03-17,generada
236,¿Cuál es la capital de Australia?,Canberra,geografia,facil,todos,nueva,,,opentriviaqa
98,En la serie Hora De Aventuras �cuantos a�os tiene Finn?,13,otro,facil,todos,nueva,,,trivial2b
148,�Cu�l de estos tipos de climas no se encuentra entre los m�s habituales en Europa?,Ecuatorial,geografia,facil,todos,nueva,,,trivial2b
267,¿Cuál es el punto más profundo del océano?,Fosa de las Marianas,geografia,media,tiziano,nueva,,,opentriviaqa
180,�Cu�ntos a�os duro la guerra de los 100 a�os?,116 a�os,historia_universal,facil,todos,nueva,,,trivial2b
459,¿Cuál es el libro sagrado del Islam?,Corán,otro,facil,todos,nueva,,,opentriviaqa
164,�Qu� sistema monta�oso se extiende a lo largo de la frontera septentrional de la Rep�blica Checa?,Sudetes,geografia,facil,todos,nueva,,,trivial2b
61,�Cu�l es la primera naci�n que debe ingresar en el estadio en la ceremonia de apertura de cada edici�n de los Juegos Ol�mpicos?,Grecia,deportes,facil,todos,nueva,,,trivial2b
323,¿Qué imperio fue derrotado en la Batalla de Waterloo?,El Imperio francés de Napoleón,historia_universal,facil,todos,nueva,,,opentriviaqa
295,¿En qué año cayó el Muro de Berlín?,1989,historia_universal,facil,todos,nueva,,,opentriviaqa
663,¿Cómo se llamaba la esposa de Odiseo que lo esperó 20 años?,Penélope,mitologia,media,marcos,nueva,,,generada
220,¿Quién fue el primer presidente de Argentina?,Bernardino Rivadavia,historia_argentina,facil,todos,nueva,,,preguntados_utn
421,¿Qué tipo de voz masculina es la más grave?,Bajo,musica,media,tiziano,nueva,,,opentriviaqa
601,¿En qué batalla San Martín derrotó a los realistas en Chile?,Batalla de Maipú (1818),historia_argentina,media,todos,nueva,,,generada
6,Aproximadamente ¿cuántos pelos tenemos en la cabeza?,Entre 100.000 y 200.000,ciencia,facil,todos,nueva,,,trivial2b
616,¿Qué presidente privatizó la mayoría de las empresas estatales en los 90?,Carlos Menem,historia_argentina,facil,todos,nueva,,,generada
629,¿Qué filósofo fue maestro de Alejandro Magno?,Aristóteles,filosofia,facil,todos,nueva,,,generada
167,�Cu�les son los colores de la bandera de Letonia?,Rojo y blanco,geografia,facil,todos,nueva,,,trivial2b
397,¿Quién compuso la Novena Sinfonía con el 'Himno a la Alegría'?,Ludwig van Beethoven,musica,facil,todos,sabia,,2026-03-17,opentriviaqa
365,¿Qué tipo de animal es una ballena?,Mamífero,ciencia,facil,todos,nueva,,,opentriviaqa
33,¿Como se llama la arteria mas grande del cuerpo humano?,Aorta,ciencia,facil,todos,nueva,,,trivial2b
376,¿Cuál es la temperatura de ebullición del agua al nivel del mar?,100 °C,ciencia,facil,todos,nueva,,,opentriviaqa
287,¿Cuál es la capital de Hungría?,Budapest,geografia,facil,todos,nueva,,,opentriviaqa
196,�De qu� color era la cinta de cuero que ataba las varas de los fasces romanos?,Rojo,historia_universal,facil,todos,nueva,,,trivial2b
237,¿Cuál es la capital de Bélgica?,Bruselas,geografia,facil,todos,nueva,,,opentriviaqa
522,¿Cómo se llama la afición de coleccionar libros (especialmente raros)?,Bibliofilia,terminologia,media,santiago,no_sabia,,2026-03-17,generada
139,La capital del Congo es...,Kinshasa,geografia,facil,todos,nueva,,,trivial2b
304,¿Qué civilización construyó las pirámides de Giza?,Egipcia,historia_universal,facil,todos,nueva,,,opentriviaqa
240,¿Cuál es la capital de Japón?,Tokio,geografia,facil,todos,nueva,,,opentriviaqa
150,�Cual de estos r�os americanos desemboca en el �rtico?,Yuk�n,geografia,facil,todos,no_sabia,,2026-03-17,trivial2b
356,¿Qué órgano produce la insulina?,Páncreas,ciencia,media,santiago,nueva,,,opentriviaqa
529,¿Cómo se llama el miedo a las alturas?,Acrofobia,terminologia,facil,todos,no_sabia,,2026-03-17,generada
3,Las estrellas agrupadas forman...,Constelaciones,ciencia,facil,todos,nueva,,,trivial2b
443,¿Quién escribió 'Las flores del mal'?,Charles Baudelaire,literatura,media,marcos,nueva,,,opentriviaqa
334,¿Qué potencias formaron el Eje en la Segunda Guerra Mundial?,"Alemania, Italia y Japón",historia_universal,media,marcos,no_sabia,,2026-03-17,opentriviaqa
570,¿Qué establece la primera ley de la termodinámica?,"La energía no se crea ni se destruye, solo se transforma",ciencia,media,santiago,nueva,,,generada
476,¿Cuál es la capital de Bután?,Timbu,geografia,dificil,tiziano,nueva,,,generada
257,¿Cuál es la montaña más alta de África?,Kilimanjaro,geografia,media,tiziano,nueva,,,opentriviaqa
635,¿Qué filósofo escribió la 'Crítica de la razón pura'?,Immanuel Kant,filosofia,media,marcos,nueva,,,generada
650,¿Cuál es el equivalente romano de Atenea?,Minerva,mitologia,media,marcos,nueva,,,generada
202,�A qu� general independentista cedi� el mando de sus tropas Manuel Belgrano en 1814?,Jos� de San Mart�n,historia_universal,facil,todos,nueva,,,trivial2b
70,"�De qu� pa�s es originario el Curling, practicado en los Juegos Ol�mpicos de Invierno?",Escocia y Pa�ses Bajos,deportes,facil,todos,nueva,,,trivial2b
439,¿Quién escribió 'Martín Fierro'?,José Hernández,literatura,facil,todos,nueva,,,opentriviaqa
209,"�Qui�n lider� la resistencia que derrot� al ej�rcito chino en 1428, restaurando la independencia de Vietnam?",Le Loi,historia_universal,facil,todos,no_sabia,,2026-03-17,trivial2b
368,¿Cuál es el órgano más grande del cuerpo humano?,La piel,ciencia,facil,todos,nueva,,,opentriviaqa
7,¿Cuantos metros miden los intestinos?,Entre 8 y 9,ciencia,facil,todos,nueva,,,trivial2b
584,¿Cuántos estados de la materia existen clásicamente?,"3 (sólido, líquido, gaseoso); 4 si se cuenta el plasma",ciencia,facil,todos,nueva,,,generada
102,En la serie de los Simpsons �que est� escrito en las escaleras de la comisar�a?,El Barto,otro,facil,todos,nueva,,,trivial2b
423,¿Quién fue Astor Piazzolla?,Compositor y bandoneonista argentino de tango nuevo,musica,facil,todos,nueva,,,opentriviaqa
314,¿Qué país lanzó las bombas atómicas sobre Hiroshima y Nagasaki?,Estados Unidos,historia_universal,facil,todos,sabia,,2026-03-17,opentriviaqa
659,¿Cuántos trabajos tuvo que completar Heracles (Hércules)?,12,mitologia,facil,todos,nueva,,,generada
573,¿Qué molécula es la principal fuente de energía celular?,ATP (adenosín trifosfato),ciencia,media,santiago,nueva,,,generada
311,¿Quién fue el primer presidente de los Estados Unidos?,George Washington,historia_universal,facil,todos,nueva,,,opentriviaqa
67,"Despu�s de Estados Unidos, �qu� selecci�n se encuentra segunda en el medallero ol�mpico de Baloncesto?",Uni�n Sovi�tica,deportes,facil,todos,nueva,,,trivial2b
389,¿Qué invento se atribuye a Nikola Tesla?,La corriente alterna,ciencia,media,santiago,nueva,,,opentriviaqa
535,¿Cómo se llama el miedo a hablar en público?,Glosofobia,terminologia,dificil,santiago,nueva,,,generada
596,¿Qué presidente asumió tras la caída de la dictadura en 1983?,Raúl Alfonsín,historia_argentina,facil,todos,nueva,,,generada
114,"�Qui�n es Luigi, el personaje que siempre acompa�a a Mario Bross en casi todas sus aventuras?",Su hermano,otro,facil,todos,nueva,,,trivial2b
321,¿En qué siglo se produjeron las Cruzadas?,Siglos XI al XIII,historia_universal,media,marcos,nueva,,,opentriviaqa
592,¿Qué presidente argentino impulsó la 'Conquista del Desierto'?,Julio Argentino Roca,historia_argentina,media,todos,nueva,,,generada
188,�Cuando termin� la segunda guerra mundial?,1945,historia_universal,facil,todos,nueva,,,trivial2b
651,¿Cuál es el equivalente romano de Artemisa?,Diana,mitologia,media,marcos,nueva,,,generada
642,¿Qué filósofo escribió 'Ser y tiempo'?,Martin Heidegger,filosofia,dificil,marcos,nueva,,,generada
218,"De estas formas de gobierno, �en cual de estas el poder lo comparten cuatro personas?",Tetrarqu�a,historia_universal,facil,todos,nueva,,,trivial2b
174,�Cu�l es el r�o m�s largo de Lituania?,Niemen,geografia,facil,todos,nueva,,,trivial2b
138,La capital de Colombia es...,Bogot�,geografia,facil,todos,nueva,,,trivial2b
354,¿Quién es considerado el padre de la computación moderna?,Alan Turing,ciencia,media,santiago,sabia,,2026-03-17,opentriviaqa
58,�Qui�n dirigi� la ceremonia de apertura de los Juegos Ol�mpicos de Londres 2012?,Danny Boyle,deportes,facil,todos,nueva,,,trivial2b
21,¿En donde se encuentra el gametofito en la amapola?,En el interior del óvulo,ciencia,facil,todos,nueva,,,trivial2b
471,¿Cuál es la capital de Sri Lanka?,Sri Jayawardenepura Kotte,geografia,dificil,tiziano,nueva,,,generada
661,¿Qué héroe griego ideó el caballo de Troya?,Odiseo (Ulises),mitologia,media,marcos,nueva,,,generada
266,¿Qué cordillera separa Europa de Asia?,Montes Urales,geografia,media,tiziano,nueva,,,opentriviaqa
200,�C�mo se llamaban en la mitolog�a griega las divinidades inspiradoras de las artes?,Musas,historia_universal,facil,todos,nueva,,,trivial2b
39,¿Cual de estos compuestos tiene una menos cantidad de átomos de carbono?,Hexano,ciencia,facil,todos,nueva,,,trivial2b
168,�En qu� pa�s nace el r�o Kabul?,Afganist�n,geografia,facil,todos,nueva,,,trivial2b
344,¿Qué país fue el primero en usar armas nucleares en un conflicto bélico?,Estados Unidos,historia_universal,facil,todos,nueva,,,opentriviaqa
597,¿En qué año se libró la Batalla de San Lorenzo?,1813,historia_argentina,media,todos,nueva,,,generada
152,�A qu� pa�s pertenece la isla de Eubea?,Grecia,geografia,facil,todos,nueva,,,trivial2b
576,¿Qué científico descubrió los rayos X?,Wilhelm Röntgen,ciencia,media,santiago,nueva,,,generada
1,¿Cual es el planeta mas grande del sistema solar?,Júpiter,ciencia,facil,todos,nueva,,,trivial2b
128,�C�mo se llama el protagonista de la saga Indiana Jones?,Harrison Ford,otro,facil,todos,nueva,,,trivial2b
342,¿Quién fue Gengis Kan?,Fundador y primer emperador del Imperio Mongol,historia_universal,media,marcos,sabia,,2026-03-17,opentriviaqa
486,¿Cuál es el río más largo de Oceanía?,Murray,geografia,dificil,tiziano,no_sabia,,2026-03-17,generada
207,�C�mo se llama el libro sagrado propio de la tradici�n cat�lica?,La Biblia,historia_universal,facil,todos,nueva,,,trivial2b
57,�Cu�l es el �nico deporte acu�tico que estuvo presente en todos los Juegos Ol�mpicos?,Nataci�n,deportes,facil,todos,nueva,,,trivial2b
106,�Como se llama el mat�n de Phineas y Ferb?,Buford,otro,facil,todos,nueva,,,trivial2b
256,¿Cuál es el país más pequeño del mundo?,Ciudad del Vaticano,geografia,facil,todos,nueva,,,opentriviaqa
92,En la serie Hora De Aventuras �Como se llama la princesa chicle?,Bonibelle,otro,facil,todos,nueva,,,trivial2b
78,"�De qu� nacionalidad es el campe�n ol�mpico de esqu�, en 1972, Gustavo Thoeni?",Italiano,deportes,facil,todos,nueva,,,trivial2b
253,¿Cuál es el lago más grande del mundo por superficie?,Mar Caspio,geografia,media,tiziano,sabia,,2026-03-17,opentriviaqa
555,¿Cuál es el símbolo químico del plomo?,Pb,ciencia,media,santiago,no_sabia,,2026-03-17,generada
122,�En que a�o apareci� el libro de Heidi?,1880,otro,facil,todos,no_sabia,,2026-03-17,trivial2b
405,¿De qué país es originario el flamenco?,España,musica,facil,todos,nueva,,,opentriviaqa
526,¿Cómo se llama la afición de coleccionar cajas de fósforos?,Filumenia,terminologia,dificil,santiago,nueva,,,generada
195,"�Qu� papa confirm� la creaci�n de la Orden de Santa Mar�a de la Merced, para la redenci�n de los cautivos?",Gregorio IX,historia_universal,facil,todos,nueva,,,trivial2b
105,En la serie de los Simpsons �como se apellida el tabernero Moe?,Sislark,otro,facil,todos,nueva,,,trivial2b
